Issue #,year,date,DOW,sup,LOC of ad,works mentioned,Performance Location,date of performance,order,author,genre,# acts,bnft,benefit name,other name/function,actors mentioned,Amtr,Role,Additional information,,,,,,,,,,,,,,,,,,
784,1807,12/30,Wed,n,P2C3,L'Opéra Comique,Saint-Pierre,12/30/1807,2,,opéra,1,y,Mdme. St.-Ceran,musique de Signor Dominico Della Maria,,,,"listed as following Distrait, followed by a note to the public that Madame St.-Ceran icloses with saying that she embraced the difficulties (of a theater career) in hope to one day become pleasant to the public, see Moniteur 12.30.1807",,,,,,,,,,,,,,,,,,
791,1808,1/23,Sat,n,"P2C4,P2C4",L'Opéra Comique,Saint-Pierre,1/24/1808,2,,opéra,1,n,,,,,,,,,,,,,,,,,,,,,,,,
801,1808,2/27,Sat,n,"P2C4,P2C4",L'Opéra Comique,Saint-Pierre,2/28/1808,2,,Opéra,,n,,musique del Sr. Della Maria,,,,,,,,,,,,,,,,,,,,,,
817,1808,4/23,Sat,n,"P2C4,P2C4",L'Opéra Comique,Saint-Pierre,4/24/1808,2,,opéra,1,n,,musique de Sr. Della Maria,,,,inclludes an ad from a spectator wondering how to attend shows at both theatres at the same time...,,,,,,,,,,,,,,,,,,
837,1808,7/2,Sat,n,"P3C2,P3C3",L'Opéra Comique,Saint-Philippe,7/3/1808,1,Ségur,opéra,1,n,,musique de Della Maria,Mr. Auguste,y,Armand,"this is listed as ""l'Opéra Comique"" in both the Spectacle and the Theatre de la Rue Saint-Phillipe section",,,,,,,,,,,,,,,,,,
837,1808,7/2,Sat,n,"P3C2,P3C3",L'Opéra Comique,Saint-Pierre,7/3/1808,2,Ségur,opéra,1,n,,musique de Della Maria,,,,,,,,,,,,,,,,,,,,,,
858,1808,9/14,Wed,n,"P3C2,P3C1",L'Opéra Comique,Saint-Pierre,9/15/1808,2,,opéra,1,n,,musique de Della Maria,,,,,,,,,,,,,,,,,,,,,,
965,1809,9/23,Sat,n,P3C2,L'Opéra Comique,Saint-Philippe,9/24/1809,2,,,,y,Mr. Ernest,,,,,"""S'addresser pour la location des Loges, à M. Laroque""",,,,,,,,,,,,,,,,,,
966,1809,9/27,Wed,n,P3C2,L'Opéra Comique,Saint-Pierre,9/28/1809,1,,opéra,,y,Mme. Douvillier,musique de Della Maria,,,,"""S'addresser pour la location des Loges, à la salle de Spectacle"", reprint of the advertisement for the same performance in the previous issue",,,,,,,,,,,,,,,,,,
1005,1810,2/10,Sat,n,P3C4,L'Opéra Comique,Saint-Pierre,2/11/1810,2,,opéra,1,n,,musique de Della Maria,,,,,,,,,,,,,,,,,,,,,,
